fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
390550408_31122011_rectif1.pdf,390550408,2011-12-31,Association Initiatives Karties,Piton Saint-Leu,2452318,12424,26691,60591,80202,445991,99,true,excedent,31,D,15.3,4.2,1.3,0.2,10,
390550408_31122012.pdf,450720347,2012-12-31,Association non identifiée dans le document,ST LEU,484138,18920,26983,42050,24787,161115,95,true,excedent,38,D,17.0,8.2,2.0,0.8,10,
391040672_31122012.pdf,,2012-12-31,Association FAIR (FORMATION ANIMATION INSERTION REUNION),Saint Pierre,599985,30362,24581,61793,54094,191314,26,true,excedent,52,C,17.5,10.1,3.6,11.1,10,
391040672_31122013.pdf,,2013-12-31,ASSOCIATION FAIR,Saint Pierre,474265,117116,129024,67231,2038,392692,68,true,excedent,48,C,27.3,5.4,0.2,4.8,10,
391040672_31122014.pdf,,2014-12-31,Association FORMATION ANIMATION INSERTION REUNION,Saint Pierre,540090,-104023,-107089,174320,33776,464382,20,true,deficit,42,C,5.4,11.7,2.5,12.0,10,
391040672_31122015.pdf,,2015-12-31,FAIR,,895814,13920,26879,,,,18,false,excedent,28,D,15.8,0,0.0,12.3,0,
392336335_31122006.pdf,392336335,2006-12-31,CIE DU SOLEIL BLEUE,BORDEAUX,581395,-3754,-5159,-28645,80731,172759,31,true,deficit,41,C,14.7,0,5.6,10.4,10,
392336335_31122007.pdf,392336335,2007-12-31,CIE DU SOLEIL BLEU,BORDEAUX,731616,39713,35482,8176,50485,76886,19,true,excedent,46,C,17.7,3.3,2.8,12.2,10,
392336335_31122008.pdf,392336335,,,,,,,,,,,,,,,,,,,,"Anthropic::Errors::BadRequestError: {:url=>""https://api.anthropic.com/v1/messages"", :status=>400, :body=>{:type=>""error"", :error=>{:type=>""invalid_request_error"", :message=>""prompt is too long: 213842 tokens > 200000 maximum""}, :request_"
392694014_31122016.pdf,,2016-12-31,AREFIS,VILLEURBANNE,8261421,298903,127476,1948089,956165,8777980,49,false,excedent,36,D,16.8,6.9,4.6,7.7,0,
392694014_31122017.pdf,,2017-12-31,AREFIS,VILLEURBANNE,8529045,268821,214767,3684016,1491016,9039729,47,true,excedent,54,C,16.6,12.7,7.0,8.0,10,
392694014_31122020.pdf,,2020-12-31,ENSEIS,VILLEURBANNE,4082425,104493,-28066,2181872,320807,9383211,38,true,ambigu,46,C,16.3,7.3,3.1,9.3,10,
394915177_31122012.pdf,,2012-12-31,CLUB OLYMPIQUE DE SAINT PIERRE,le Tampon,234051,12135,12135,56905,28247,100354,30,true,excedent,61,B,17.6,17.7,4.8,10.5,10,
394915177_31122013.pdf,,2013-12-31,CLUB OLYMPIQUE DE SAINT PIERRE,le Tampon,300853,-50423,-50423,6482,10064,53809,23,true,deficit,33,D,6.6,3.8,1.3,11.6,10,
398581124_31122006.pdf,,2006-12-31,ASSOCIATION ESPACE ENVIRONNEMENT 08,ATTIGNY,779254,22997,48310,179007,38932,228567,82,true,excedent,56,C,16.5,24.5,2.0,2.7,10,
398581124_31122007.pdf,398581124,2007-12-31,Association Espace Environnement 08,Attigny,878966,12488,13213,192219,80213,319416,87,true,excedent,50,C,15.7,18.8,3.7,2.0,10,
