siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,rna
317944783,ASSOCIATION LORRAINE D'AMITIES FRANCO ARABE,Nancy,54000,54,2025-03-20,2025-02-25,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500563110,ASS LORRAINE D AMITIE FRANCO ARABE (ALAFA),9220,01,94.99Z,PME,C,W543006886
488611369,ASSOCIATION DE GYM VOLONTAIRE D'ARCHIGNY,ARCHIGNY,86210,86,2026-02-26,2026-02-24,Autre jugement et ordonnance,Extrait de jugement,A202600393007,ASSO GYM VOLONTAIRE D ARCHIGNY,9220,01,93.12Z,PME,A,W861002576
353724321,AISM (ASSOCIATION INTERMEDIAIRE DU ST MAIXENTAIS),SAINT-MAIXENT-L'ECOLE,79400,79,2026-02-24,2026-02-20,Autre jugement et ordonnance,Extrait de jugement,A202600374376,ASSOC. INTERMEDIAIRE DU ST MAIXENTAIS (AISM),9220,21,78.30Z,PME,A,W792002692
800481145,"Association CENTRE DE SANTE DENTAIRE BLAISE PASCAL, ATTITUDE BUSINESS CONSEIL - ABC","Tours, Poulaines","37000, 36210",36,2026-02-22,2026-01-14,Jugement d'extension d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600362596,ATTITUDE BUSINESS CONSEIL - ABC (ATTITUDE BUSINESS CONSEIL),5710,11,82.99Z,PME,A,
878548171,ASSOCIATION DENTAL CARE CENTRE DE SANTE DENTAIRE DE GOUSSAINVILLE,GOUSSAINVILLE,95190,95,2026-02-22,2026-02-17,Autre jugement et ordonnance,Extrait de jugement,A202600363127,DENTAL CARE CENTRE DE SANTE DENTAIRE DE GOUSSAINVILLE,9220,11,86.23Z,PME,A,W952013185
781173174,ASSOCIATION DEPARTEMENTALE DES FRANCAS DE LA CHARENTE,ANGOULEME,16000,16,2026-02-22,2026-02-19,Autre jugement et ordonnance,Extrait de jugement,A202600362370,ASSOCIATION DEPARTEMENTALE DES FRANCAS,9220,11,94.99Z,PME,A,W161001688
479605941,ASSOCIATION JETS D'ENCRE,Paris,75012,75,2025-04-25,2025-04-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500814874,ASSOCIATION JETS D'ENCRE,9220,03,94.99Z,PME,C,W751167775
919775411,association FORCE DEVELOPPEMENT AFRIQUE,Paris,75016,75,2026-02-18,2026-02-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600331749,FORCE DEVELOPPEMENT AFRIQUE,9220,01,88.99B,PME,A,W751266109
431886423,ASSOCIATION LOONOISE DES AMIS DES MARINS,Loon-Plage,59279,59,2025-04-10,2025-03-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202500713156,ASS LOONOISE DES AMIS DES MARINS,9220,02,94.99Z,PME,A,W594006402
499966372,ASSOCIATION POUR LA FORMATION EN PSYCHOLOGIE APPLIQUEE ET GERONTOLOGIE,Fos-sur-Mer,13270,13,2024-02-14,2023-04-20,Autre jugement prononçant,Jugement prononçant,A202400312880,ASS POUR LA FORMATION EN PSYCHOLOGIE APPLIQUEE ET GERONTOLOGIE (A.F.P.A.G),9220,NN,94.99Z,PME,A,W134001495
331552034,Association DEVELOP CREATION ETUDES PROJETS - Sigle: ADCEP,Paris,75019,75,2026-02-17,2026-01-30,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600325372,ASS DEVELOP CREATION ETUDES PROJETS (ADCEP),9220,02,90.01Z,PME,A,W751063409
909107310,ASSOCIATION VDHDF VENT DEBOUT HAUTS DE FRANCE,DUNKERQUE,59240,59,2026-02-17,2026-02-13,Autre jugement et ordonnance,Extrait de jugement,A202600325209,VENT DEBOUT HAUTS DE FRANCE (VDHDF),9220,01,94.99Z,PME,A,W594012558
883097305,ASSOCIATION LA TETE 2 L'EMPLOI,Paris,75020,75,2025-08-31,2025-08-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501661734,LA TETE 2 L'EMPLOI,9220,01,96.02A,PME,A,W751256212
923875405,ASSOCIATION DES CORSAIRES DE LA COHESION SOCIALE,LE VAL DAVID,27120,27,2026-02-13,2026-01-19,Autre jugement et ordonnance,Extrait de jugement,A202600302706,ASSOCIATION DES CORSAIRES POUR LA COHESION SOCIALE DE FRANCE (ACCSFR),9220,NN,94.99Z,PME,A,W353021808
410659478,Association ACADEMIE POUR L'EDUCATION PAR LE SPORT sigle : APELS,Paris,75009,75,2026-02-11,2026-01-26,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202600281625,ACADEMIE POUR L'EDUCATION PAR LE SPORT (APELS),9220,21,94.99Z,PME,A,W751157867
830889457,ASSOCIATION SOLIDARITES PROFESSIONNELLES TRANSITIONS,Beauchamp,95250,95,2026-02-04,,Autre jugement prononçant,Jugement prononçant,A202600231812,SOLIDARITES PROFESSIONNELLES & TRANSITIONS - LABEL SECOURS POUR TOUS,9220,11,88.99B,PME,A,W953006828
321896599,ASSOCIATION GESTION CANTINE SCOLAIRE,SAINT MESMIN,85700,85,2026-02-02,2025-06-19,Autre jugement et ordonnance,Extrait de jugement,A202600225882,ASSO GESTION CANTINE SCOLAIRE,9220,NN,56.29B,PME,A,
751751900,ASSOCIATION A DOMICILE,SAINTE-CLOTILDE,97490,974,2026-01-31,2026-01-29,Autre jugement et ordonnance,Extrait de jugement,A202600213047,ASSOCIATION A DOMICILE,9220,12,88.10A,PME,A,
384651105,Association AFRIQUE PARTENAIRES SERVICES,Paris,75015,75,2026-01-31,2026-01-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600212662,AFRIQUE PARTENAIRES SERVICES,9220,NN,59.11B,PME,A,W751098542
