siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
,A.S.T.I. ASSOCIATION DE SOLIDARITE AVEC LES TRAVAILLEURS IMMIGRES,Dourdan,91410,91,2022-12-08,2022-11-24,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202383580
,ASSOCIATION ACCS FUTSAL CLUB PARIS VA 92,Villeneuve-la-Garenne,92390,92,2022-12-08,2022-11-25,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202383596
,ASSOCIATION COLLEGE INTERNATIONAL DE CANNES,Cannes,06400,06,2022-12-08,2022-11-28,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202383053
507576627,L’ASSOCIATION RESEAU D’INGENIERIE SOCIALE POUR L’INSERTION ET L’EMPLOI,Fort-de-France,97200,972,2022-12-08,2022-11-28,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202383631
,ASSOCIATION AZUR ENTRAIDE,Nice,06300,06,2022-12-08,2022-11-21,Autre jugement de clôture,Jugement de clôture,A202202383063
789077799,ASSOCIATION MOTO-CLUB DU PEYRE,Saint-Maur,32300,32,2022-12-07,2022-11-24,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202371738
,ASSOCIATION PROXISANTE,Floirac,33270,33,2022-12-07,2022-11-24,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202202371745
381218064,ASSOCIATION PASREL ENTREPRISE,Sainte-Clotilde,97490,974,2022-12-07,2022-11-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202372003
821895794,ASSOCIATION JEUNESSE COMORIENS OCEAN INDIEN MOJA,Saint-Benoît,97470,974,2022-12-07,2022-11-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202372002
,ASSOCIATION C. DANSE,Coursac,24430,24,2022-12-06,2022-11-21,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202362920
419773213,ASSOCIATION SPORTIVE GOLFPART D’ALLAUCH (A.S.G.A.),Aix-en-Provence Cedex 3,13594,13,2022-12-06,2022-11-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202362860
394554034,Association REGIE DE QUARTIER DU VALENTINOIS,Valence,26000,26,2022-12-06,2022-11-16,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202362924
,ASSOCIATION POLE EXCELLENCE BOIS,Rumilly,74150,74,2022-12-06,2022-11-18,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202202363064
