fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,label
421376468_31122022.pdf,421376468,2022-12-31,ASSOCIATION PRACTHIS,558752.0,11405.0,9471.0,476809.0,92752.0,439678.0,17.0,0.02041156004810721,1.0844504387301617,0.16599851096729856,0.016950274898344882,1,7.5,94,75,1
421376468_31122023.pdf,421376468,2023-12-31,ASSOCIATION PRACTHIS,598360.0,17061.0,18195.0,302316.0,110409.0,409848.0,21.0,0.028512935356641487,0.7376295602272062,0.18451935289792099,0.03040811551574303,1,7.5,94,75,1
421376468_31122024.pdf,421376468,2024-12-31,ASSOCIATION PRACTHIS,591741.0,0.0,-6938.0,0.0,123414.0,385967.0,15.0,0.0,0.0,0.208560839962078,-0.011724724161415213,1,7.5,94,75,1
423855535_31122022.pdf,423855535,2022-12-31,Association MAISONS DE MODE,705823.0,-116163.0,-118546.0,-32022.0,9310.0,214294.0,87.0,-0.16457808827425574,-0.1494302220314148,0.01319027574901923,-0.16795428882311855,0,7.5,85,59,1
433580198_31122020.pdf,433580198,2020-12-31,ASSOCIATION OBJECTIF EMPLOI,400589.0,49925.0,50324.0,-20431.0,80197.0,219757.0,95.0,0.1246289838213231,-0.09297087237266617,0.2001977088736835,0.12562501716222862,1,14.0,88,59,1
434537635_31122021.pdf,434537635,2021-12-31,Association EPONA,2397317.0,-35340.0,-25675.0,134060.0,156087.0,658502.0,92.0,-0.01474147974589927,0.2035832844850889,0.06510903647702827,-0.010709889430559246,1,34.0,87,90,1
434537635_31122022.pdf,434537635,2022-12-31,Association EPONA,2244130.0,-181479.0,-196426.0,-107066.0,4920.0,487640.0,94.0,-0.08086830976815068,-0.2195595111147568,0.0021923863590790193,-0.0875287973513121,1,34.0,87,90,1
434537635_31122023.pdf,434537635,2023-12-31,Association EPONA,3163832.0,114930.0,106546.0,-41355.0,62556.0,549464.0,93.0,0.03632620189694016,-0.07526425753097564,0.019772225579613584,0.03367625082494899,1,34.0,87,90,1
439887662_31122021.pdf,439887662,2021-12-31,SAOME,1254213.0,2553.0,11589.0,221986.0,359962.0,489622.0,77.0,0.0020355394179457555,0.4533824052023806,0.28700228749024287,0.009240057310839546,1,14.0,94,974,1
439887662_31122022.pdf,439887662,2022-12-31,SAOME,1270615.0,-1050.0,-400.0,219475.0,308276.0,439086.0,81.0,-0.0008263714815266623,0.49984513284413534,0.24261951889439365,-0.0003148081834387285,1,14.0,94,974,1
439887662_31122023.pdf,439887662,2023-12-31,SAOME - Santé Addictions Outre-Mer,1328482.0,-5832.0,-1529.0,408251.0,239511.0,384158.0,82.0,-0.004389972916456527,1.062716382321857,0.18028923237198546,-0.0011509376867733247,1,14.0,94,974,1
440665842_31122022.pdf,440665842,2022-12-31,ASSA SPN ASSO - Réseau des Profess.du Numérique,821061.0,-116598.0,-103209.0,151420.0,42441.0,379924.0,66.0,-0.14200893721660143,0.3985533948895042,0.05169043469364639,-0.12570198803742963,0,14.0,94,86,1
449666148_31122021.pdf,449666148,2021-12-31,LES PETITS DEBROUILLARDS - GRAND EST MAXEVILLE,1378951.0,30314.0,-1644.0,192348.0,870437.0,1238981.0,54.0,0.02198337721935007,0.15524693276168078,0.6312312765283176,-0.0011922106006667388,0,74.0,93,54,1
449666148_31122023.pdf,449666148,2023-12-31,Les Petits Débrouillards du Grand Est,1644636.0,-131872.0,-103996.0,82259.0,332983.0,1188464.0,40.0,-0.0801830921857481,0.0692145491996392,0.2024660776001498,-0.06323344496897794,1,74.0,93,54,1
479605941_31122022.pdf,479605941,2022-12-31,ASSOCIATION JETS D'ENCRE,349846.0,-15207.0,-15207.0,-3120.0,22471.0,76527.0,76.0,-0.04346769721534618,-0.04076992434042887,0.06423111883514461,-0.04346769721534618,1,7.5,94,75,1
484675012_31122023.pdf,484675012,2023-12-31,ASSOC ASALEE,91786254.0,-20117806.0,-14204919.0,-16896039.0,2145.0,16041851.0,91.0,-0.21918103336039838,-1.0532474712550317,2.3369512389077344e-05,-0.1547608534062192,0,1499.0,94,75,1
484675012_31122024.pdf,484675012,2024-12-31,ASSOC ASALEE,76164661.0,-3023833.0,-3022543.0,-2691120.0,4068279.0,12436435.0,98.0,-0.03970125987956541,-0.2163899863586309,0.05341425992823627,-0.039684322890900806,0,1499.0,94,75,1
492989496_31122023.pdf,492989496,2023-12-31,CASE MARMAILLONS,180802.0,-41808.0,-41804.0,18244.0,21805.0,64257.0,80.0,-0.2312363801285384,0.2839223742160387,0.1206015420183405,-0.23121425647946373,1,7.5,88,974,1
502268899_31122022.pdf,502268899,2022-12-31,ENTREPRENDRE AU FEMININ BRETAGNE,563391.0,-22438.0,-19966.0,356784.0,46966.0,469638.0,88.0,-0.03982669229717905,0.7597000242740153,0.08336306401770706,-0.03543897577348591,1,14.0,85,29,1
502268899_31122023.pdf,502268899,2023-12-31,ENTREPRENDRE AU FEMININ BRETAGNE,522030.0,-183864.0,-185183.0,169381.0,281604.0,286608.0,87.0,-0.3522096431239584,0.5909848992351924,0.5394402620539049,-0.3547363178361397,1,14.0,85,29,1
504254376_31122021.pdf,504254376,2021-12-31,ASSOCIATION AIDE AUX VICTIMES DU LOIRET,304498.0,-64890.0,-74529.0,46487.0,114401.0,141536.0,94.0,-0.21310484797929707,0.3284464729821388,0.37570361710093336,-0.24476022831020236,1,14.0,88,45,1
508769874_31122024.pdf,508769874,2024-12-31,ARCA,1098447.0,101595.0,109223.0,578724.0,692610.0,889924.0,41.0,0.09248966950613002,0.6503072172455175,0.6305356562492319,0.09943401911972084,1,14.0,85,37,1
510583594_31122021.pdf,510583594,2021-12-31,LE K'FE QUOI,346600.0,9279.0,8790.0,-15954.0,35312.0,135992.0,85.0,0.02677149451817657,-0.11731572445437967,0.10188113098672821,0.025360646278130408,1,7.5,90,04,1
