url,title,pdf_url,chambre,exercices,pub_date,is_loi_1901
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-de-saint-yriex-la-montagne-creuse,Association foncière de remembrement de Saint-Yriex-la-Montagne (Creuse),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL200012.pdf,,,2000-02-15,false
https://www.ccomptes.fr/fr/publications/association-fonciere-de-remembrement-de-budeliere-viersat-creuse,Association foncière de remembrement de Budelière-Viersat (Creuse),https://www.ccomptes.fr/sites/default/files/EzPublish/LIL99025.pdf,,,1999-06-15,false
https://www.ccomptes.fr/fr/publications/association-de-lecomusee-dalsace-haut-rhin-0,Association de l'Écomusée d'Alsace (Haut-Rhin),https://www.ccomptes.fr/sites/default/files/2025-04/GER202528.pdf,Grand Est,,2025-05-20,true
https://www.ccomptes.fr/fr/publications/association-autisme-en-ile-de-france-paris-seine-et-marne-val-de-marne-yvelines,"Association Autisme en Île-de-France (Paris, Seine-et-Marne, Val-de-Marne, Yvelines)",https://www.ccomptes.fr/sites/default/files/2025-05/IDR2024-62.pdf,Île-de-France,,2025-05-20,true
https://www.ccomptes.fr/fr/publications/association-pour-la-gestion-de-lenvironnement-du-valenciennois-ageval-nord,Association pour la gestion de l'environnement du Valenciennois (Ageval) (Nord),https://www.ccomptes.fr/sites/default/files/2025-05/HFR2025-025.pdf,,,2025-05-19,false
https://www.ccomptes.fr/fr/publications/commune-de-vic-fezensac-association-club-taurin-vicois-gers,Commune de Vic-Fezensac - Association Club Taurin Vicois (Gers),https://www.ccomptes.fr/sites/default/files/2025-05/OCR2025-20.pdf,Occitanie,,2025-05-13,false
https://www.ccomptes.fr/fr/publications/association-office-du-tourisme-de-vars-hautes-alpes,Association Office du Tourisme de Vars (Hautes-Alpes),https://www.ccomptes.fr/sites/default/files/2025-04/PAR2025-0318.pdf,,,2025-04-17,false
https://www.ccomptes.fr/fr/publications/commune-de-saint-gilles-association-toro-pasion-gard,Commune de Saint-Gilles- Association Toro Pasión (Gard),https://www.ccomptes.fr/sites/default/files/2025-04/OCR2025-16.pdf,Occitanie,,2025-04-09,false
https://www.ccomptes.fr/fr/publications/commune-de-bellegarde-association-bellegarde-passions-et-traditions-gard,"Commune de Bellegarde - Association Bellegarde ""Passions et traditions"" (Gard)",https://www.ccomptes.fr/sites/default/files/2025-03/OCR2025-13.pdf,Occitanie,,2025-03-28,false
https://www.ccomptes.fr/fr/publications/commune-de-ceret-et-association-comite-de-feria-de-ceret-pyrenees-orientales,"Commune de Céret et association "" Comité de féria de Céret"" (Pyrénées-Orientales)",https://www.ccomptes.fr/sites/default/files/2025-03/OCR2025-14.pdf,Occitanie,2019+,2025-03-27,false
https://www.ccomptes.fr/fr/publications/association-union-sportive-montalbanaise-usm-rugby-societe-anonyme-sportive,Association Union sportive montalbanaise (USM) - Rugby société anonyme sportive professionnelle Union sportive montalbanaise (USM) (Tarn-et-Garonne),https://www.ccomptes.fr/sites/default/files/2025-03/OCR2025-10.pdf,Occitanie,,2025-03-25,true
https://www.ccomptes.fr/fr/publications/association-blagnac-football-club-haute-garonne,Association Blagnac Football Club (Haute-Garonne),https://www.ccomptes.fr/sites/default/files/2025-03/OCR2025-09.pdf,Occitanie,2018-2023,2025-03-24,true
https://www.ccomptes.fr/fr/publications/association-paris-universite-club-puc-volley-ball-et-societe-par-actions-simplifiee,Association Paris université club (PUC) volley-ball et société par actions simplifiée Paris volley avenir (Paris),https://www.ccomptes.fr/sites/default/files/2025-03/IDR2024-68.pdf,,,2025-02-28,false
https://www.ccomptes.fr/fr/publications/association-denquete-et-de-mediation-aem-lemploi-des-subventions-locales-landes,Association d’enquête et de médiation (AEM) - L'emploi des subventions locales (Landes),https://www.ccomptes.fr/sites/default/files/2025-03/NAR2025-008_1.pdf,,,2025-03-03,false
https://www.ccomptes.fr/fr/publications/association-passado-14-maison-des-adolescents-du-calvados,"Association ""Passado 14"" - Maison des adolescents du Calvados",https://www.ccomptes.fr/sites/default/files/2025-02/NDR2025-04.pdf,Normandie,,2025-02-27,true
https://www.ccomptes.fr/fr/publications/association-la-frontera-production-pyrenees-orientales,Association La Frontera Production (Pyrénées-Orientales),https://www.ccomptes.fr/sites/default/files/2025-02/OCR2025-07.pdf,Occitanie,2018-2023,2025-02-24,true
https://www.ccomptes.fr/fr/publications/association-sportive-de-saint-etienne-loire,Association  sportive de Saint-Étienne (Loire),https://www.ccomptes.fr/sites/default/files/2025-02/ARA202481.pdf,Auvergne-Rhône-Alpes,,2025-02-21,true
https://www.ccomptes.fr/fr/publications/association-sportive-villeurbannaise-est-lyonnais-asvel-basket-metropole-de-lyon,Association Sportive Villeurbannaise Est Lyonnais (Asvel) Basket (Métropole de Lyon),https://www.ccomptes.fr/sites/default/files/2025-01/ARA202462.pdf,Auvergne-Rhône-Alpes,2018+,2025-01-07,true
https://www.ccomptes.fr/fr/publications/association-arts-vivants-11-aude,Association Arts Vivants 11 (Aude),https://www.ccomptes.fr/sites/default/files/2025-01/OCR2025-03.pdf,Occitanie,2019-2023,2025-01-29,true
