url,title,siren,canonical_name,nature_juridique,score,ambiguous,thematic,departement,query_used,nb_candidates
https://www.ccomptes.fr/fr/publications/association-les-petits-comediens-de-chiffons-ardennes,Association Les Petits comédiens de chiffons (Ardennes),780250726,PETITS COMEDIENS DE CHIFFONS,9220,1.000,false,false,08,petits comediens chiffons,11
https://www.ccomptes.fr/fr/publications/association-nantes-saint-nazaire-developpement-loire-atlantique,Association Nantes Saint-Nazaire Développement (Loire-Atlantique),418167557,NANTES SAINT NAZAIRE DEVELOPPEMENT,9220,1.000,false,false,44,nantes saint nazaire developpement,26
https://www.ccomptes.fr/fr/publications/association-mulhouse-olympic-natation-mon-haut-rhin,Association Mulhouse Olympic Natation (MON) (Haut-Rhin),778921569,MULHOUSE OLYMPIC NATATION,9260,0.917,false,false,68,mulhouse olympic natation,12
https://www.ccomptes.fr/fr/publications/association-laval-economie-mayenne,Association Laval Économie (Mayenne),786257683,ASSOCIATION DIOCESAINE DE LAVAL,9220,0.650,true,false,53,LAVAL,14
https://www.ccomptes.fr/fr/publications/association-bge-littoral-opale-pas-de-calais,"Association ""BGE Littoral Opale"" (Pas-de-Calais)",325908879,BGE LITTORAL OPALE,9220,1.000,false,false,62,bge littoral opale,2
https://www.ccomptes.fr/fr/publications/association-le-mans-football-club-sarthe,Association Le Mans Football Club (Sarthe),479588956,FOOTBALL CLUB SPORTIF DU MANS,9220,1.000,true,false,72,mans football club,22
https://www.ccomptes.fr/fr/publications/association-gestion-associative-de-laction-culturelle-du-personnel-de-la-region,Association « Gestion associative de l’action culturelle du personnel de la région Auvergne-Rhône-Alpes » (Gaaspar),815320668,GESTION ASSOCIATIVE DE L'ACTION SOCIOCULTURELLE DU PERSONNEL AUVERGNE-RHONE-ALPES (GAASPAR),9220,1.000,false,false,69,GESTION associative,11
https://www.ccomptes.fr/fr/publications/association-furies-marne,Association Furies (Marne),326093655,FURIES,9220,0.917,false,false,51,furies,3
https://www.ccomptes.fr/fr/publications/association-jules-ledein-eure,Association Jules Ledein (Eure),780794251,ASSOCIATION JULES LEDEIN,9220,1.000,false,false,27,jules ledein,10
https://www.ccomptes.fr/fr/publications/association-pour-le-logement-la-formation-et-lanimation-accueillir-associer,"Association pour le logement, la formation, et l'animation -accueillir, associer, accompagner (Alfa3A) (Ain)",779307248,COM DEP AIDE LOGEMENT DE L AIN,9220,0.558,false,false,01,logement,7
https://www.ccomptes.fr/fr/publications/association-rahu-ora-agence-immobiliere-sociale-de-polynesie-francaise-aispf,Association Rahu Ora - Agence immobilière sociale de Polynésie française (AISPF),,,,,false,false,,rahu ora,0
https://www.ccomptes.fr/fr/publications/association-de-soins-domicile-la-reunion-asdr,Association de soins à domicile à La Réunion (ASDR),378751127,ASSOC DE SOINS A DOMICILE A LA REUNION (ASDR),9220,1.000,false,false,974,soins domicile reunion,13
https://www.ccomptes.fr/fr/publications/association-alterre-bourgogne-franche-comte,Association Alterre Bourgogne-Franche-Comté,393708870,ALTERRE BOURGOGNE FRANCHE COMTE,9220,1.000,false,false,,alterre bourgogne franche comte,11
